,locus_tag,deg_id
0,BSU_00010,DEG10010001
1,BSU_00020,DEG10010002
2,BSU_00030,DNEG10010001
3,BSU_00040,DNEG10010002
4,BSU_00050,DNEG10010003
5,BSU_00060,DEG10010003
6,BSU_00070,DEG10010004
7,BSU_00080,DNEG10010004
8,BSU_00090,DEG10010005
9,BSU_00100,DNEG10010005
10,BSU_00110,DNEG10010006
11,BSU_00120,DNEG10010007
12,BSU_00130,DEG10010006
13,BSU_00140,DNEG10010008
14,BSU_00150,DNEG10010009
15,BSU_00160,DNEG10010010
16,BSU_00170,DNEG10010011
17,BSU_00180,DNEG10010012
18,BSU_00190,DEG10010007
19,BSU_00200,DNEG10010013
20,BSU_00210,DNEG10010014
21,BSU_00220,DNEG10010015
22,BSU_00230,DNEG10010016
23,BSU_00240,DNEG10010017
24,BSU_00250,DNEG10010018
25,BSU_00260,DNEG10010019
26,BSU_00270,DNEG10010020
27,BSU_00280,DEG10010008
28,BSU_00290,DNEG10010021
29,BSU_00300,DNEG10010022
30,BSU_00310,DEG10010009
31,BSU_00320,DNEG10010023
32,BSU_00330,DNEG10010024
33,BSU_00340,DNEG10010025
34,BSU_00350,DNEG10010026
35,BSU_00360,DNEG10010027
36,BSU_00370,DNEG10010028
37,BSU_00380,DEG10010010
38,BSU_00390,DNEG10010029
39,BSU_00400,DNEG10010030
40,BSU_00410,DNEG10010031
41,BSU_00420,DNEG10010032
42,BSU_00430,DNEG10010033
43,BSU_00440,DNEG10010034
44,BSU_00450,DNEG10010035
45,BSU_00460,DEG10010011
46,BSU_00470,DNEG10010036
47,BSU_00480,DNEG10010037
48,BSU_00490,DNEG10010038
49,BSU_00500,DEG10010012
50,BSU_00510,DEG10010013
51,BSU_00520,DNEG10010039
52,BSU_00530,DEG10010014
53,BSU_00540,DNEG10010040
54,BSU_00550,DNEG10010041
55,BSU_00560,DNEG10010042
56,BSU_00570,DNEG10010043
57,BSU_00580,DNEG10010044
58,BSU_00590,DNEG10010045
59,BSU_00600,DNEG10010046
60,BSU_00610,DNEG10010047
61,BSU_00620,DEG10010015
62,BSU_00630,DNEG10010048
63,BSU_00640,DNEG10010049
64,BSU_00650,DNEG10010050
65,BSU_00660,DNEG10010051
66,BSU_00670,DEG10010016
67,BSU_00680,DEG10010017
68,BSU_00690,DNEG10010052
69,BSU_00700,DNEG10010053
70,BSU_00710,DNEG10010054
