,strand_lead,geptop,Nc,GC,L_aa,Gravy
BF638R_RS00005,1,0.0,44.98,0.41,175,-0.099429
BF638R_RS00010,1,0.0,50.37,0.34,489,-0.453579
BF638R_RS00015,1,0.03623338667829281,47.32,0.29600000000000004,323,-0.131889
BF638R_RS00020,1,0.03677614457699361,50.57,0.338,279,-0.247312
BF638R_RS00025,1,0.0,42.53,0.411,177,-0.242373
BF638R_RS00030,1,0.0,56.11,0.447,601,-0.26955100000000004
BF638R_RS00035,1,0.03660623701547908,51.47,0.343,603,-0.284909
BF638R_RS00040,1,0.0,50.84,0.35600000000000004,372,-0.333064
BF638R_RS00045,1,0.0,59.89,0.408,222,-0.237838
BF638R_RS00050,1,0.0,51.13,0.366,452,-0.297566
BF638R_RS00055,1,0.0,54.85,0.38,727,0.102751
BF638R_RS00060,0,0.0,51.93,0.395,201,-0.314925
BF638R_RS00065,1,0.0,48.39,0.396,675,-0.456148
BF638R_RS00070,1,0.036663410106997266,48.95,0.431,257,-0.324514
BF638R_RS00075,1,0.0,46.93,0.392,171,-0.353216
BF638R_RS00080,1,0.036753252567273915,51.01,0.429,537,-0.563501
BF638R_RS00085,0,0.0,50.98,0.396,208,0.545192
BF638R_RS00090,0,0.0,51.51,0.439,804,-0.32313400000000003
BF638R_RS00095,0,0.0,52.53,0.4370000000000001,559,0.691771
BF638R_RS00100,1,0.0,44.2,0.41,192,-0.382292
BF638R_RS00105,0,0.2574258458332088,48.63,0.46,523,-0.29177800000000004
BF638R_RS00110,1,0.0,45.22,0.354,132,0.568182
BF638R_RS00115,1,0.3676875815421644,47.65,0.456,447,0.16308699999999998
BF638R_RS00120,1,0.03660623701547908,50.56,0.415,469,-0.268443
BF638R_RS00125,0,0.03660623701547908,48.43,0.481,499,-0.12485
BF638R_RS00130,0,0.0,50.08,0.413,109,-0.558716
BF638R_RS00135,1,0.07322750411002257,50.59,0.467,457,-0.29453
BF638R_RS00140,1,0.0,52.79,0.453,472,-0.5802970000000001
BF638R_RS00145,1,0.0,52.92,0.465,704,-0.481392
BF638R_RS00150,0,0.0,56.17,0.392,567,-0.105291
BF638R_RS00155,1,0.0,47.85,0.338,405,-0.402222
BF638R_RS00160,1,0.0,52.13,0.398,72,-0.101389
BF638R_RS00165,1,0.0,50.42,0.331,355,-0.001972
BF638R_RS00170,1,0.0,47.22,0.391,75,0.262667
BF638R_RS00175,1,0.0,50.73,0.34,372,-0.394086
BF638R_RS00180,1,0.0,49.57,0.35700000000000004,379,-0.149604
BF638R_RS00185,1,0.0,46.43,0.416,77,0.292208
BF638R_RS00190,1,0.0,61.0,0.39,83,0.081928
BF638R_RS00195,1,0.0,45.9,0.319,351,-0.068661
BF638R_RS00200,1,0.0,52.05,0.364,205,-0.055122
BF638R_RS00205,1,0.0,56.2,0.408,71,-0.5323939999999999
BF638R_RS00210,1,0.0,47.12,0.353,347,-0.07521599999999999
BF638R_RS00215,1,0.0,51.02,0.458,659,-0.533536
BF638R_RS00220,1,0.1839537525764378,50.37,0.474,299,-0.353512
BF638R_RS00225,1,0.22178729006543696,49.17,0.407,293,0.353584
BF638R_RS00230,1,0.07473521060775133,42.15,0.429,77,0.6688310000000001
BF638R_RS00235,1,0.2269422200657913,50.46,0.4270000000000001,266,0.918797
BF638R_RS00240,1,0.03660623701547908,46.63,0.471,233,-0.239485
BF638R_RS00245,1,0.08120377425640846,48.43,0.4320000000000001,352,-0.327273
BF638R_RS00250,1,0.5160182844220342,58.39,0.451,153,0.057516
BF638R_RS22070,0,0.0,41.91,0.448,64,0.378125
