,strand_lead,geptop,Nc,GC,L_aa,Gravy
BPS_RS18535,1,0.036294459234578594,43.68,0.624,395,-0.539241
BPS_RS18540,0,0.0,40.63,0.6459999999999999,347,-0.243516
BPS_RS18545,0,0.0,44.62,0.679,131,-0.147328
BPS_RS18550,0,0.035963491743212825,37.05,0.688,202,-0.369307
BPS_RS18555,1,0.25732095106536096,31.44,0.672,399,0.015788999999999997
BPS_RS18560,1,0.0,32.36,0.644,343,0.032945
BPS_RS18565,0,0.036742429034852836,34.18,0.677,217,-0.110138
BPS_RS18570,1,0.0,32.25,0.7090000000000001,205,-0.097561
BPS_RS18575,1,0.036919235790033,40.7,0.633,159,-0.844025
BPS_RS18580,0,0.036742429034852836,38.81,0.672,338,-0.134911
BPS_RS18585,0,0.036885231684711854,31.38,0.674,361,-0.07146799999999999
BPS_RS18590,1,0.0,34.05,0.675,305,0.001967
BPS_RS18595,1,0.036761916045385146,36.84,0.6709999999999999,225,0.402667
BPS_RS18600,1,0.03633326068135681,37.98,0.66,207,-0.10821300000000003
BPS_RS18605,0,0.0,37.6,0.652,67,-0.014925
BPS_RS18610,0,0.0,32.64,0.708,177,0.075141
BPS_RS18615,0,0.0,30.01,0.6629999999999999,412,-0.383252
BPS_RS18620,0,0.0,29.18,0.6559999999999999,261,0.180843
BPS_RS18625,0,0.0,33.97,0.638,246,-0.127236
BPS_RS18630,1,0.0361995673679014,34.7,0.7170000000000001,198,0.677778
BPS_RS18635,0,0.0,30.78,0.662,78,-0.012821
BPS_RS18640,1,0.0,37.22,0.715,82,-0.928049
BPS_RS18645,0,0.0,35.24,0.6859999999999999,275,-0.337091
BPS_RS18650,0,0.0,33.54,0.687,234,-0.468376
BPS_RS18655,1,0.03629835887693875,42.0,0.652,468,-0.07222200000000001
BPS_RS18660,1,0.0,44.34,0.556,66,-0.33484899999999995
BPS_RS18665,1,0.0,38.67,0.648,283,0.168905
BPS_RS18670,1,0.0,40.78,0.67,277,-0.049819
BPS_RS18675,1,0.03668346180101741,37.33,0.6709999999999999,647,-0.077125
BPS_RS18680,1,0.035963491743212825,39.53,0.687,329,-0.035866
BPS_RS18685,0,0.0,32.71,0.6829999999999999,206,0.8203879999999999
BPS_RS18690,1,0.0,33.52,0.6940000000000001,297,-0.07676799999999999
BPS_RS18695,0,0.0,32.46,0.677,251,-0.143028
BPS_RS18700,0,0.0,34.16,0.6729999999999999,155,0.067742
BPS_RS18705,1,0.036761916045385146,46.07,0.636,76,-0.27105300000000004
BPS_RS18710,0,0.0,37.3,0.7340000000000001,94,-0.592553
