,strand_lead,geptop,Nc,GC,L_aa,Gravy
VC_RS00005,0,0.07337109038326482,48.21,0.505,144,-0.177083
VC_RS00010,0,0.2939585817227887,49.31,0.528,453,-0.192936
VC_RS00015,0,0.7771995069866867,45.32,0.493,541,-0.03475
VC_RS00020,0,0.07303295495074116,61.0,0.471,85,-0.055294
VC_RS00025,0,0.4447202563097507,47.24,0.449,118,-0.572034
VC_RS00030,0,0.7028806716610614,37.78,0.511,45,-1.224445
VC_RS00035,0,0.036129166425168883,51.84,0.4970000000000001,245,-0.217959
VC_RS00040,0,0.036698868118021616,56.23,0.504,223,0.8201790000000001
VC_RS00045,0,0.036137910569295835,45.1,0.477,248,-0.169355
VC_RS00050,1,0.8879575688556346,44.69,0.508,467,-0.383726
VC_RS00055,1,0.9611945652975836,42.49,0.499,366,-0.105465
VC_RS00060,1,0.07346230423662277,49.79,0.477,363,-0.388981
VC_RS00065,1,0.998455690534324,41.82,0.506,805,-0.38882
VC_RS00070,1,0.0,52.47,0.507,140,-0.178571
VC_RS00075,1,0.0,34.67,0.46,145,-0.7427590000000001
VC_RS00080,0,0.0,46.32,0.5,418,-0.114833
VC_RS00085,0,0.7428464628818001,42.53,0.521,688,-0.111337
VC_RS00090,0,0.6302928312568221,40.64,0.51,305,-0.340983
VC_RS00095,1,0.0,47.08,0.475,184,1.035326
VC_RS00100,1,0.036757035908333686,46.5,0.482,85,0.355294
VC_RS00105,0,0.14963970723440936,57.27,0.496,82,-0.10243900000000003
VC_RS00110,1,0.0,37.95,0.464,61,0.377049
VC_RS00115,0,0.0,52.57,0.522,326,0.203374
VC_RS00120,0,0.07399523934322608,44.58,0.524,510,-0.166079
VC_RS00125,0,0.2213476772008268,45.6,0.5479999999999999,613,-0.174225
VC_RS00130,0,0.11092878810690884,42.1,0.54,312,-0.030128
VC_RS00135,0,0.0,51.41,0.461,94,-0.297872
VC_RS00140,0,0.0,46.07,0.5539999999999999,548,0.024817
VC_RS00145,1,0.0746943945779926,49.22,0.536,507,-0.15286
VC_RS00150,1,0.07371056908456157,43.58,0.5,294,-0.101021
VC_RS00155,0,0.0,49.65,0.463,200,-0.12300000000000001
VC_RS00160,0,0.0,46.46,0.499,328,-0.468293
VC_RS00165,0,0.07412490020496224,48.29,0.496,474,0.033755
VC_RS00170,0,0.0,46.56,0.424,88,-0.35454600000000003
VC_RS00175,1,0.03799573377979335,51.1,0.516,263,-0.106464
VC_RS00180,1,0.07333032917939095,54.97,0.473,213,1.02723
VC_RS00185,0,0.0,44.82,0.521,185,-0.195135
VC_RS00190,0,0.0,49.43,0.514,481,0.7550939999999999
VC_RS00195,0,0.0748751955874425,45.33,0.523,458,-0.030568
VC_RS00200,0,0.0,47.91,0.55,426,-0.299061
VC_RS00205,0,0.7762652790759567,48.93,0.516,315,-0.055556
VC_RS00210,0,0.6657430473158357,47.8,0.473,194,-0.31855700000000003
VC_RS00215,1,0.0,48.33,0.505,375,-0.225333
VC_RS00220,1,0.03650363408232171,54.7,0.514,371,0.056334
VC_RS00225,1,0.03650363408232171,46.93,0.468,158,-0.13038
VC_RS00230,1,0.03799573377979335,39.75,0.491,188,-0.4212770000000001
VC_RS00235,0,0.1856104680212665,51.48,0.514,377,0.015384
VC_RS00240,0,0.18372984261268135,50.99,0.53,161,0.20745300000000005
VC_RS00245,1,0.4469894270699918,47.55,0.537,185,-0.025946
VC_RS00250,1,0.4072812058162175,51.93,0.499,305,-0.522951
VC_RS00255,1,0.2965266949857541,46.93,0.501,278,-0.092086
VC_RS00260,1,0.0,61.0,0.454,91,-0.175824
VC_RS00265,0,0.0,49.66,0.479,183,-0.122404
VC_RS18595,1,0.0,23.89,0.413,46,-0.1
VC_RS00300,1,0.03676364343842355,48.17,0.434,126,1.075397
VC_RS00305,1,0.11081166001919628,50.86,0.476,645,-0.337674
VC_RS00310,1,0.37051214655467823,51.73,0.465,440,-0.04
VC_RS00315,1,0.29622897194878395,55.2,0.505,258,-0.08759700000000001
VC_RS00320,1,0.22149355206525853,61.0,0.49,85,0.136471
VC_RS00325,1,0.33128821947284465,56.18,0.505,256,0.24960900000000005
VC_RS00330,1,0.03652932086841945,50.63,0.479,370,-0.342433
VC_RS00335,0,0.1834907924408768,51.61,0.506,597,-0.244221
VC_RS00340,0,0.0,51.29,0.481,313,-0.147284
VC_RS00345,1,0.0,51.09,0.503,396,0.8292930000000001
