,strand_lead,geptop,Nc,GC,L_aa,Gravy
VC_RS13430,1,0.03993493913620557,52.92,0.465,658,-0.418237
VC_RS13435,0,0.0,57.86,0.486,153,-0.333333
VC_RS13440,1,0.07995982448416372,61.0,0.451,65,-0.870769
VC_RS13445,1,0.08036374301304246,36.86,0.435,69,-0.524638
VC_RS13450,1,0.039632775888905104,42.91,0.476,239,-0.379498
VC_RS13455,1,0.07989871021894819,52.01,0.521,291,0.16048099999999998
VC_RS13460,0,0.039632775888905104,50.85,0.484,553,-0.206872
VC_RS13465,1,0.11978566467873697,41.31,0.444,118,-0.608475
VC_RS13470,0,0.0,47.83,0.508,902,-0.332816
VC_RS13475,1,0.0795100294139616,42.45,0.525,817,-0.294247
VC_RS13480,1,0.08025303203711634,45.27,0.522,726,-0.314325
VC_RS13490,1,0.039632775888905104,35.96,0.494,172,-0.44593
VC_RS13495,1,0.03993493913620557,47.77,0.532,694,-0.479395
VC_RS13500,1,0.040105017396712336,49.3,0.468,295,-0.307797
VC_RS13505,1,0.07923926822156224,51.52,0.464,1085,-0.321475
VC_RS13510,1,0.07991831892317004,53.68,0.415,242,0.104546
VC_RS13515,1,0.0399157948095976,50.64,0.501,133,0.704511
VC_RS13520,0,0.0,52.36,0.468,341,0.617009
VC_RS13525,0,0.039632775888905104,61.0,0.478,318,0.827044
VC_RS13530,1,0.0802523558077052,51.23,0.496,462,1.022511
VC_RS13535,0,0.03997272677709047,45.12,0.458,211,-0.299052
VC_RS13540,1,0.0,48.11,0.496,849,-0.226384
VC_RS13545,1,0.07956771502511067,58.23,0.481,244,-0.195492
VC_RS13550,1,0.04005934570569262,55.39,0.463,278,-0.027698
VC_RS13555,0,0.039632775888905104,54.88,0.456,521,-0.181958
VC_RS13560,0,0.040069227019096126,59.96,0.444,186,-0.25914
VC_RS13565,1,0.0,44.36,0.486,624,-0.596635
VC_RS13570,0,0.0,55.81,0.475,276,-0.077174
VC_RS13575,1,0.08012203239242968,50.38,0.479,250,0.4152
VC_RS13580,0,0.0,46.69,0.49,405,0.885926
VC_RS13585,0,0.0,44.87,0.476,150,0.044667
VC_RS13590,0,0.04004768271760541,53.59,0.459,193,-0.098446
VC_RS13595,0,0.0,59.08,0.494,139,0.051079
VC_RS13600,0,0.039969296996436005,48.19,0.483,303,0.836634
VC_RS13605,1,0.0,52.01,0.462,408,0.920098
VC_RS13610,0,0.0,56.37,0.468,252,-0.373413
VC_RS13615,1,0.03990353708130446,48.18,0.486,94,-0.51383
VC_RS13625,0,0.0,53.4,0.496,376,-0.011702
VC_RS13630,0,0.11981288131352676,54.98,0.4370000000000001,129,-0.000775
VC_RS13640,0,0.03960649233265713,53.15,0.489,495,-0.301212
VC_RS13645,0,0.03999047012460937,55.66,0.498,489,-0.511861
VC_RS13650,0,0.07923926822156224,47.0,0.479,236,0.057627
VC_RS13655,1,0.07990226058580889,51.44,0.478,317,-0.28832800000000003
VC_RS13660,1,0.1198943160802932,52.64,0.511,265,-0.003019
VC_RS13665,1,0.040265934330043086,56.35,0.509,469,-0.390405
VC_RS13670,1,0.0399157948095976,50.91,0.48,306,-0.111438
VC_RS13675,0,0.04005934570569262,51.89,0.488,82,-0.095122
VC_RS13680,1,0.0,49.08,0.481,452,-0.4103979999999999
VC_RS13685,1,0.08016947141134755,52.89,0.511,665,-0.449925
VC_RS13690,1,0.0,50.04,0.506,713,-0.60561
VC_RS13695,1,0.11950903974730005,49.57,0.503,768,-0.185938
VC_RS13700,1,0.1200105655046025,52.35,0.506,480,-0.198958
VC_RS13705,1,0.0,48.4,0.527,186,-0.265054
VC_RS13710,0,0.039632775888905104,50.83,0.486,547,-0.17221199999999998
VC_RS13715,1,0.08001265792270416,37.07,0.466,273,-0.025641000000000004
VC_RS13720,1,0.07989677462167931,49.04,0.508,306,0.877124
VC_RS13725,1,0.15988921016025542,44.31,0.483,287,0.7560979999999999
VC_RS13730,1,0.04004768271760541,47.23,0.472,259,-0.349421
VC_RS13735,0,0.07961919736656722,49.18,0.452,366,-0.057104
VC_RS13740,0,0.0,56.14,0.419,155,0.045161
VC_RS18715,1,0.0,,0.473,62,0.241935
VC_RS13745,0,0.0,47.11,0.491,458,0.882315
VC_RS13750,0,0.0,51.0,0.496,553,0.752441
VC_RS13755,1,0.0,34.61,0.418,99,-0.618182
VC_RS13760,1,0.16005368433023845,49.2,0.479,430,-0.356977
