,strand_lead,geptop,Nc,GC,L_aa,Gravy
ATU_RS00005,1,0.0,43.18,0.581,273,-0.108425
ATU_RS00010,1,0.037677701534391865,57.28,0.58,199,0.064321
ATU_RS00015,1,0.2979230475278012,47.23,0.578,286,-0.192308
ATU_RS00020,1,0.853261805564129,49.18,0.563,193,-0.115544
ATU_RS00025,1,0.5913349135821894,45.73,0.579,232,-0.221121
ATU_RS00030,0,0.0,37.23,0.5770000000000001,160,0.0525
ATU_RS00035,0,0.0,47.2,0.601,178,0.336517
ATU_RS00040,1,0.07372987892432448,42.03,0.583,232,-0.3375
ATU_RS00045,1,0.03685673256890983,44.71,0.606,370,-0.184054
ATU_RS00050,1,0.03685673256890983,46.83,0.584,189,-0.608466
ATU_RS00055,1,0.07398243316705247,36.66,0.59,121,-0.16280999999999998
ATU_RS00060,1,0.9628202108015764,37.39,0.604,811,-0.250185
ATU_RS00065,0,0.0,46.68,0.5770000000000001,200,-0.3675
ATU_RS00070,1,0.03685673256890983,38.77,0.599,280,-0.116429
ATU_RS00075,1,0.0,38.72,0.5870000000000001,410,-0.162439
ATU_RS00080,1,0.07334256590164838,46.6,0.59,255,-0.421177
ATU_RS00085,1,0.1496468772982647,47.89,0.561,220,-0.06681799999999999
ATU_RS00090,1,0.2604054586148195,39.4,0.595,406,-0.192857
ATU_RS00095,1,0.22319761853019407,38.18,0.594,279,0.157706
ATU_RS00100,1,0.7794266898144383,35.9,0.597,298,-0.055705
ATU_RS00105,1,0.6313498842685501,45.05,0.5820000000000001,447,0.0783
ATU_RS00110,0,0.3317047737676363,39.86,0.585,106,0.287736
ATU_RS00115,0,0.11018419707053476,42.52,0.616,1185,-0.245738
ATU_RS00120,0,0.07348134190945489,42.3,0.64,1061,-0.27606
ATU_RS00125,0,0.2214399513439152,40.86,0.585,245,-0.106123
ATU_RS00130,0,0.40628613558174537,47.06,0.583,503,-0.101789
ATU_RS00135,0,0.03771021711427229,42.26,0.599,881,-0.199773
ATU_RS00140,0,0.18573300709336368,34.58,0.581,466,-0.156867
ATU_RS00145,0,0.1469067734413394,42.55,0.626,91,0.315385
ATU_RS00150,0,0.07553170083401439,37.96,0.5589999999999999,133,0.011278
ATU_RS00155,0,0.3326890137896069,50.9,0.561,154,0.251948
ATU_RS00160,0,0.07424053590415039,40.71,0.607,596,-0.13288599999999998
ATU_RS00165,0,0.11320940236840625,41.38,0.589,248,-0.327419
ATU_RS00170,1,0.03802117890692017,36.27,0.608,536,-0.170522
ATU_RS00175,1,0.0,45.76,0.613,144,-0.609028
ATU_RS00180,0,0.2601166123429464,41.24,0.569,322,-0.253416
ATU_RS00185,0,0.07553170083401439,43.95,0.601,107,-0.049533
ATU_RS00190,0,0.1496468772982647,44.48,0.59,258,0.087984
ATU_RS00195,0,0.18650360986717449,40.79,0.599,247,0.18664
ATU_RS00200,0,0.1496468772982647,35.83,0.611,216,-0.047222
ATU_RS00205,0,0.0,50.22,0.573,164,0.253658
ATU_RS00210,0,0.22357655403569945,36.03,0.588,198,-0.190909
ATU_RS00215,1,0.0741843099777444,41.93,0.594,174,-0.08678200000000001
ATU_RS00220,1,0.03700381065503087,38.41,0.593,435,-0.32160900000000003
ATU_RS00225,1,0.0,42.76,0.5710000000000001,321,-0.311215
ATU_RS00230,1,0.0,38.48,0.596,722,-0.231856
ATU_RS00235,0,0.0,37.45,0.613,237,-0.156118
ATU_RS00240,1,0.0,43.85,0.5489999999999999,161,-0.267081
ATU_RS00245,0,0.0,42.57,0.603,195,-0.487692
ATU_RS00250,0,0.0,44.65,0.604,444,0.197748
ATU_RS00255,0,0.0,49.28,0.631,828,-0.178502
ATU_RS00295,1,0.03685673256890983,48.9,0.5870000000000001,602,-0.254485
ATU_RS00300,0,0.0,49.21,0.575,410,0.074146
ATU_RS00305,1,0.0,36.26,0.591,340,-0.027059
ATU_RS00310,1,0.0,46.7,0.57,360,0.8622219999999999
ATU_RS00315,1,0.037242022558024286,41.94,0.594,260,-0.03
ATU_RS00320,1,0.0,43.19,0.593,209,-0.003828
ATU_RS00325,1,0.07361559780070083,35.44,0.598,73,0.10411
ATU_RS00330,1,0.1830649826557521,48.4,0.568,132,-0.13939400000000002
ATU_RS00335,1,0.5936170952041614,41.66,0.5529999999999999,728,-0.35989
ATU_RS00340,1,0.5926978634444449,41.64,0.5670000000000001,324,-0.298148
ATU_RS00345,0,0.0,45.47,0.589,370,-0.07459500000000001
ATU_RS00350,1,0.07397665195321428,42.06,0.616,375,-0.1048
ATU_RS00355,1,0.3357933772634837,45.05,0.609,253,-0.051383000000000005
ATU_RS00360,1,0.0,41.96,0.578,158,0.120253
ATU_RS00365,0,0.0,53.82,0.588,229,-0.154585
ATU_RS00370,0,0.1106118189582114,37.52,0.617,334,-0.15658699999999998
ATU_RS00375,1,0.11340909755558433,43.64,0.623,177,-0.129378
ATU_RS00380,0,0.07458346609561918,37.44,0.596,330,-0.075455
ATU_RS00385,1,0.0,36.71,0.614,314,0.938535
ATU_RS00390,0,0.07316892429214324,39.89,0.615,338,-0.173965
ATU_RS00395,0,0.33636655325730336,32.68,0.598,713,-0.13983199999999998
ATU_RS00400,0,0.5916875596332178,40.61,0.5770000000000001,89,-0.58427
ATU_RS00405,0,0.07376044035359915,42.33,0.615,315,-0.354603
ATU_RS00410,0,0.10987434051619027,37.17,0.5870000000000001,138,-0.583333
ATU_RS00415,0,0.8891599548958189,37.46,0.633,913,-0.507448
ATU_RS00420,0,0.1852857687819014,46.52,0.634,233,-0.360515
ATU_RS00425,0,0.7398532076267361,31.08,0.602,538,-0.394424
ATU_RS00430,0,0.37153177235752455,37.43,0.574,198,-0.358081
ATU_RS00435,1,0.0,41.71,0.619,542,0.403136
ATU_RS00440,0,0.0,42.61,0.593,421,-0.191449
ATU_RS00445,0,0.03700381065503087,45.17,0.615,201,0.074627
ATU_RS00450,1,0.0,44.95,0.596,211,-0.126066
ATU_RS00455,0,0.147092469049234,35.39,0.579,107,-0.257944
ATU_RS00460,0,0.9268563974085934,38.54,0.631,624,-0.256731
ATU_RS00470,1,0.0,46.79,0.573,142,-0.07746499999999999
ATU_RS00475,1,0.0,45.06,0.598,319,-0.222571
ATU_RS00480,0,0.14848243096025435,39.11,0.574,287,-0.18432
ATU_RS00485,0,0.5214713313617377,45.3,0.5920000000000001,251,-0.227889
ATU_RS00490,1,0.03690370778468932,49.65,0.573,192,-0.047396
ATU_RS00495,0,0.0,49.79,0.5710000000000001,241,-0.034855000000000004
ATU_RS00500,0,0.2196916245780304,41.93,0.623,764,-0.31871700000000003
ATU_RS00505,0,0.0,54.0,0.575,152,0.28947399999999995
ATU_RS00510,1,0.07477245464119085,39.67,0.594,69,-0.311594
ATU_RS00515,0,0.07360800830318051,41.3,0.609,463,-0.094817
ATU_RS00520,0,0.0,43.1,0.5670000000000001,144,-0.421528
ATU_RS00525,0,0.0,58.6,0.488,136,0.491912
ATU_RS00530,1,0.3680592067752932,39.83,0.603,998,-0.195992
ATU_RS00535,1,0.0,52.1,0.5589999999999999,239,-0.25857800000000003
ATU_RS00540,1,0.5923509236922254,40.33,0.563,61,-1.165574
ATU_RS00545,1,0.0,40.34,0.593,600,-0.17816700000000002
ATU_RS00550,1,0.0,42.85,0.603,448,-0.053571
ATU_RS00555,1,0.03682890457912008,40.05,0.61,327,0.063303
ATU_RS00560,1,0.037131586421588834,44.92,0.564,153,1.139215
ATU_RS00565,1,0.0,36.3,0.605,501,0.92016
ATU_RS00570,1,0.03802117890692017,43.18,0.5760000000000001,70,-0.678571
ATU_RS00575,1,0.0,41.31,0.5760000000000001,183,-0.565574
ATU_RS00580,0,0.3677313181669904,40.04,0.613,377,-0.625464
ATU_RS00585,0,0.7041088424407598,33.25,0.593,633,-0.369984
ATU_RS00595,1,0.0,41.47,0.517,105,0.740952
ATU_RS00600,1,0.0,47.37,0.588,216,-0.348611
ATU_RS00605,1,0.0,33.3,0.597,330,-0.051515
ATU_RS00610,1,0.03624644070220138,40.13,0.583,501,-0.094012
ATU_RS00615,1,0.037131586421588834,39.39,0.607,367,0.946867
ATU_RS00620,1,0.0,38.32,0.609,323,0.820433
ATU_RS00625,1,0.14779348439662898,45.28,0.575,134,0.099254
ATU_RS00630,1,0.036591290167377666,43.78,0.604,266,0.260902
ATU_RS00635,1,0.07246579769943162,40.28,0.621,257,0.176265
ATU_RS00640,1,0.0,45.96,0.627,436,0.291055
ATU_RS00645,0,0.0,47.66,0.578,173,0.08670499999999999
ATU_RS00650,0,0.10946960835446247,40.37,0.574,209,-0.05311
ATU_RS00655,0,0.0,44.18,0.61,325,0.039692000000000005
ATU_RS00660,0,0.1843698276677587,45.92,0.612,406,-0.085222
ATU_RS00665,0,0.03707294416852496,46.89,0.614,253,-0.182609
ATU_RS00670,0,0.037131586421588834,38.18,0.5589999999999999,130,0.550769
ATU_RS00675,0,0.037131586421588834,38.29,0.5710000000000001,208,0.682211
ATU_RS00680,0,0.03624644070220138,35.69,0.585,667,0.7009
ATU_RS00685,0,0.0,38.4,0.593,357,0.114846
ATU_RS00690,1,0.0,45.97,0.586,440,0.834318
ATU_RS00695,1,0.14920929953969544,40.9,0.612,1834,-0.146783
ATU_RS00700,1,0.11035897250942696,43.98,0.609,589,-0.204075
ATU_RS00705,0,0.037179789198423546,48.87,0.555,197,0.204569
ATU_RS00710,0,0.037242022558024286,44.37,0.544,198,0.06919199999999999
ATU_RS00715,0,0.03771021711427229,41.6,0.6,268,0.031716
ATU_RS00720,0,0.1865689760255209,36.31,0.607,407,-0.109337
ATU_RS00725,0,0.2991930124249468,41.66,0.596,171,-0.232749
ATU_RS00730,1,0.03802117890692017,43.17,0.595,139,-0.175539
ATU_RS00735,0,0.0,46.63,0.602,212,0.936792
ATU_RS00740,1,0.0,45.23,0.547,172,-0.094767
ATU_RS00745,0,0.0,45.04,0.607,236,0.783474
ATU_RS00750,1,0.0,42.2,0.574,313,-0.005751
ATU_RS00755,1,0.0,42.26,0.594,257,1.020623
ATU_RS00760,1,0.0,43.82,0.61,261,-0.145594
ATU_RS00765,1,0.0,47.73,0.607,245,-0.31551
ATU_RS00770,1,0.2960226507952515,44.79,0.645,364,0.06895599999999999
ATU_RS00775,1,0.2965570895535912,45.37,0.607,167,0.026347
ATU_RS00780,1,0.0,49.7,0.603,307,-0.5843649999999999
ATU_RS00785,1,0.07456694968318213,45.2,0.623,329,0.072644
ATU_RS00790,0,0.0,51.11,0.5760000000000001,81,-0.459259
ATU_RS00795,0,0.0,52.15,0.551,346,-0.146532
ATU_RS00800,0,0.0,45.25,0.625,199,-0.269347
ATU_RS00805,0,0.0,39.36,0.612,378,-0.177513
ATU_RS00810,0,0.0,46.47,0.595,232,-0.393103
ATU_RS00815,0,0.0,37.46,0.599,449,0.081069
ATU_RS00820,0,0.0,40.71,0.586,328,0.597866
ATU_RS00825,0,0.03690370778468932,29.39,0.596,301,-0.023588
ATU_RS00830,0,0.03621935699723024,38.72,0.621,286,0.007692
ATU_RS00835,0,0.0,39.0,0.616,205,-0.2
ATU_RS00840,0,0.0,45.72,0.599,235,0.042128
ATU_RS00845,0,0.0,39.96,0.621,258,-0.158527
ATU_RS00850,0,0.0,38.35,0.601,300,-0.349667
ATU_RS00855,0,0.0,40.5,0.628,369,-0.200542
ATU_RS00860,0,0.0,37.31,0.637,202,0.205941
ATU_RS00865,0,0.0,43.89,0.612,153,-0.486275
ATU_RS00870,1,0.0,51.14,0.61,245,-0.055918
ATU_RS00875,0,0.7065467149881499,38.26,0.64,275,0.139273
ATU_RS00880,0,0.0,37.61,0.615,340,0.109118
ATU_RS00885,0,0.03685673256890983,47.25,0.604,127,-0.013386000000000002
ATU_RS00890,0,0.0,43.01,0.639,351,-0.340171
ATU_RS00895,1,0.0,44.31,0.578,614,-0.412215
ATU_RS00900,1,0.0,38.32,0.5660000000000001,364,0.507418
ATU_RS00905,1,0.0,37.92,0.575,381,0.320472
ATU_RS00910,1,0.11112435217803138,39.36,0.61,549,-0.061202
ATU_RS00920,1,0.0,45.07,0.596,453,-0.212362
ATU_RS00925,1,0.0,40.59,0.604,433,-0.1
ATU_RS00930,0,0.11110562274950277,38.47,0.601,162,-0.09321
ATU_RS00935,0,0.0,42.28,0.622,246,0.995935
ATU_RS00940,0,0.0,42.93,0.613,312,-0.01859
ATU_RS00945,0,0.0,47.46,0.621,388,1.072423
ATU_RS00950,0,0.0,36.57,0.584,303,-0.004621
